# t ax ay az
2.34 0.004023158103 0.0001691001501 -0.0001282984912
2.35 0.004023113368 0.0001698211806 -0.0001283145901
2.36 0.004023068511 0.0001705421958 -0.0001283306838
2.37 0.004023023529 0.0001712631958 -0.0001283467723
2.38 0.004022978425 0.0001719841806 -0.0001283628556
2.39 0.004022933197 0.0001727051502 -0.0001283789338
2.4 0.004022887846 0.0001734261044 -0.0001283950067
2.41 0.004022842372 0.0001741470434 -0.0001284110745
2.42 0.004022796774 0.000174867967 -0.0001284271371
2.43 0.004022751053 0.0001755888754 -0.0001284431945
2.44 0.004022705209 0.0001763097684 -0.0001284592467
2.45 0.004022659242 0.000177030646 -0.0001284752937
2.46 0.004022613151 0.0001777515082 -0.0001284913356
2.47 0.004022566937 0.0001784723551 -0.0001285073722
2.48 0.0040225206 0.0001791931865 -0.0001285234037
2.49 0.004022474139 0.0001799140025 -0.00012853943
2.5 0.004022427556 0.000180634803 -0.0001285554511
2.51 0.004022380849 0.0001813555881 -0.000128571467
2.52 0.004022334019 0.0001820763577 -0.0001285874777
2.53 0.004022287065 0.0001827971118 -0.0001286034832
2.54 0.004022239989 0.0001835178503 -0.0001286194835
2.55 0.004022192789 0.0001842385733 -0.0001286354786
2.56 0.004022145466 0.0001849592808 -0.0001286514686
2.57 0.00402209802 0.0001856799726 -0.0001286674533
2.58 0.004022050451 0.0001864006489 -0.0001286834329
2.59 0.004022002758 0.0001871213096 -0.0001286994072
2.6 0.004021954942 0.0001878419546 -0.0001287153764
2.61 0.004021907004 0.000188562584 -0.0001287313404
2.62 0.004021858942 0.0001892831977 -0.0001287472991
2.63 0.004021810756 0.0001900037957 -0.0001287632527
2.64 0.004021762448 0.0001907243781 -0.0001287792011
2.65 0.004021714017 0.0001914449447 -0.0001287951443
2.66 0.004021665462 0.0001921654956 -0.0001288110823
2.67 0.004021616784 0.0001928860307 -0.0001288270151
2.68 0.004021567983 0.00019360655 -0.0001288429427
2.69 0.004021519059 0.0001943270536 -0.0001288588651
2.7 0.004021470012 0.0001950475413 -0.0001288747824
2.71 0.004021420842 0.0001957680132 -0.0001288906944
2.72 0.004021371548 0.0001964884693 -0.0001289066012
2.73 0.004021322132 0.0001972089095 -0.0001289225028
2.74 0.004021272592 0.0001979293338 -0.0001289383992
2.75 0.00402122293 0.0001986497422 -0.0001289542905
2.76 0.004021173144 0.0001993701348 -0.0001289701765
2.77 0.004021123235 0.0002000905113 -0.0001289860573
2.78 0.004021073203 0.000200810872 -0.0001290019329
2.79 0.004021023048 0.0002015312166 -0.0001290178034
2.8 0.00402097277 0.0002022515453 -0.0001290336686
2.81 0.004020922369 0.000202971858 -0.0001290495286
2.82 0.004020871845 0.0002036921546 -0.0001290653835
2.83 0.004020821198 0.0002044124352 -0.0001290812331
2.84 0.004020770427 0.0002051326997 -0.0001290970775
2.85 0.004020719534 0.0002058529482 -0.0001291129167
