# t x y z R phi vx vy vz vR vphi vz_cyl
1.31 10.00161263 0.2823969295 0.1057117748 10.0055986 0.02822764001 -0.001936938841 0.2155105475 0.00431953752 0.004146379102 0.2154793618 0.00431953752
1.32 10.00159302 0.2845520281 0.1057549671 10.00564005 0.02844299791 -0.001985285575 0.2155091772 0.004318906527 0.004144418039 0.2154784691 0.004318906527
1.33 10.00157293 0.286707113 0.105798153 10.00568148 0.02865835403 -0.002033631808 0.2155077965 0.004318275282 0.004142456604 0.2154775767 0.004318275282
1.34 10.00155235 0.288862184 0.1058413326 10.0057229 0.02887370836 -0.002081977536 0.2155064054 0.004317643784 0.004140494799 0.2154766849 0.004317643784
1.35 10.00153129 0.2910172411 0.1058845058 10.00576429 0.02908906091 -0.002130322759 0.2155050039 0.004317012034 0.004138532624 0.2154757934 0.004317012034
1.36 10.00150974 0.2931722841 0.1059276728 10.00580567 0.02930441167 -0.002178667473 0.215503592 0.004316380031 0.004136570078 0.2154749024 0.004316380031
1.37 10.00148771 0.2953273129 0.1059708334 10.00584703 0.02951976066 -0.002227011676 0.2155021697 0.004315747776 0.004134607162 0.2154740118 0.004315747776
1.38 10.0014652 0.2974823274 0.1060139878 10.00588836 0.02973510786 -0.002275355368 0.215500737 0.004315115269 0.004132643876 0.2154731216 0.004315115269
1.39 10.00144221 0.2996373275 0.1060571357 10.00592968 0.02995045329 -0.002323698544 0.2154992939 0.00431448251 0.00413068022 0.2154722319 0.00431448251
1.4 10.00141873 0.3017923132 0.1061002774 10.00597098 0.03016579694 -0.002372041203 0.2154978403 0.004313849498 0.004128716195 0.2154713426 0.004313849498
1.41 10.00139477 0.3039472843 0.1061434127 10.00601225 0.03038113882 -0.002420383344 0.2154963764 0.004313216234 0.0041267518 0.2154704537 0.004313216234
1.42 10.00137032 0.3061022407 0.1061865417 10.00605351 0.03059647891 -0.002468724963 0.2154949021 0.004312582719 0.004124787036 0.2154695653 0.004312582719
1.43 10.00134539 0.3082571823 0.1062296644 10.00609475 0.03081181723 -0.002517066059 0.2154934173 0.004311948951 0.004122821903 0.2154686772 0.004311948951
1.44 10.00131998 0.310412109 0.1062727807 10.00613597 0.03102715378 -0.00256540663 0.2154919222 0.004311314931 0.004120856401 0.2154677897 0.004311314931
1.45 10.00129408 0.3125670207 0.1063158907 10.00617717 0.03124248855 -0.002613746673 0.2154904166 0.004310680659 0.004118890531 0.2154669025 0.004310680659
1.46 10.0012677 0.3147219173 0.1063589943 10.00621835 0.03145782155 -0.002662086187 0.2154889007 0.004310046136 0.004116924292 0.2154660158 0.004310046136
1.47 10.00124084 0.3168767986 0.1064020916 10.0062595 0.03167315278 -0.002710425168 0.2154873743 0.00430941136 0.004114957685 0.2154651295 0.00430941136
1.48 10.0012135 0.3190316647 0.1064451825 10.00630064 0.03188848224 -0.002758763616 0.2154858376 0.004308776333 0.004112990709 0.2154642436 0.004308776333
1.49 10.00118567 0.3211865153 0.1064882671 10.00634176 0.03210380992 -0.002807101527 0.2154842904 0.004308141053 0.004111023366 0.2154633582 0.004308141053
1.5 10.00115735 0.3233413505 0.1065313454 10.00638286 0.03231913584 -0.0028554389 0.2154827329 0.004307505522 0.004109055655 0.2154624732 0.004307505522
1.51 10.00112856 0.32549617 0.1065744172 10.00642395 0.03253445999 -0.002903775733 0.2154811649 0.00430686974 0.004107087576 0.2154615886 0.00430686974
1.52 10.00109928 0.3276509737 0.1066174828 10.00646501 0.03274978237 -0.002952112023 0.2154795866 0.004306233705 0.004105119131 0.2154607045 0.004306233705
1.53 10.00106952 0.3298057616 0.1066605419 10.00650605 0.03296510299 -0.003000447769 0.2154779978 0.004305597419 0.004103150318 0.2154598208 0.004305597419
