# id  R  x  y  vR  vphi  Lz0  Lz_end  dLz  JR0  JR_end  dJR  eR0  eR_end  deR  vR_end
101 5.35612 -0.902022 5.27962 -0.00812782 0.22336 1.19634 1.19626 -8.33797e-05 0.00154794 0.00161569 6.77561e-05 4.42635e-05 4.62034e-05 1.93987e-06 0.00824576
102 4.37237 4.37192 -0.0626887 -0.0034558 0.219934 0.961633 0.961641 8.56071e-06 0.000167914 0.00015936 -8.55462e-06 5.97563e-06 5.67116e-06 -3.04471e-07 0.00224188
103 10.3891 3.09664 -9.91689 -0.00323349 0.22072 2.29309 2.28546 -0.00762988 0.000384987 0.000389077 4.08999e-06 5.74556e-06 5.82598e-06 8.04198e-08 -0.00201461
104 6.6246 -1.67213 6.41009 0.00354389 0.219809 1.45615 1.45553 -0.000618495 0.000268749 0.000589165 0.000320415 6.31607e-06 1.38513e-05 7.5352e-06 0.00440289
105 10.3474 -9.35513 -4.42159 0.000555725 0.222174 2.29893 2.29202 -0.00690616 0.000326828 0.00033573 8.90289e-06 4.86524e-06 5.01282e-06 1.47583e-07 -0.00315826
106 3.05775 -1.64152 2.57977 0.027946 0.221093 0.676046 0.676405 0.00035955 0.0077659 0.00740602 -0.000359874 0.000391682 0.000373398 -1.82844e-05 0.0262842
107 11.75 -9.12473 7.40285 0.00174888 0.222986 2.62009 2.62006 -3.28528e-05 0.000796698 0.000736418 -6.02801e-05 1.04056e-05 9.61844e-06 -7.87118e-07 -0.00375416
108 11.944 3.02656 11.5542 0.00160589 0.214478 2.56173 2.56192 0.000192328 0.00239913 0.00246618 6.70548e-05 3.20419e-05 3.29348e-05 8.9281e-07 -0.00781388
109 4.40308 2.87549 3.33446 0.000210683 0.227079 0.999846 0.999872 2.58796e-05 0.00145001 0.00145189 1.87192e-06 4.96096e-05 4.96723e-05 6.27286e-08 0.00408091
110 5.85088 -4.29878 -3.96903 -0.00951078 0.223147 1.3056 1.30564 3.88922e-05 0.0021025 0.00206825 -3.42504e-05 5.50844e-05 5.41859e-05 -8.98492e-07 8.63206e-05
111 12.5359 1.98068 12.3785 0.0041894 0.217088 2.72141 2.72115 -0.000261924 0.00137533 0.00135534 -1.99876e-05 1.72931e-05 1.70434e-05 -2.49639e-07 0.00392591
