# x [kpc]	y [kpc]	Phi_eff(x,y)
-11.9	-19.8	0.281113
-11.8	-19.8	0.280432
-11.7	-19.8	0.279756
-11.6	-19.8	0.279085
-11.5	-19.8	0.27842
-11.4	-19.8	0.27776
-11.3	-19.8	0.277105
-11.2	-19.8	0.276455
-11.1	-19.8	0.275811
-11	-19.8	0.275172
-10.9	-19.8	0.274539
-10.8	-19.8	0.273911
-10.7	-19.8	0.273288
-10.6	-19.8	0.27267
-10.5	-19.8	0.272058
-10.4	-19.8	0.271452
-10.3	-19.8	0.27085
-10.2	-19.8	0.270254
-10.1	-19.8	0.269664
-10	-19.8	0.269079
-9.9	-19.8	0.268499
-9.8	-19.8	0.267925
-9.7	-19.8	0.267356
-9.6	-19.8	0.266793
-9.5	-19.8	0.266235
-9.4	-19.8	0.265683
-9.3	-19.8	0.265136
-9.2	-19.8	0.264594
-9.1	-19.8	0.264058
-9	-19.8	0.263528
-8.9	-19.8	0.263003
-8.8	-19.8	0.262484
-8.7	-19.8	0.26197
-8.6	-19.8	0.261461
-8.5	-19.8	0.260959
-8.4	-19.8	0.260461
-8.3	-19.8	0.25997
-8.2	-19.8	0.259484
-8.1	-19.8	0.259003
-8	-19.8	0.258528
-7.9	-19.8	0.258059
-7.8	-19.8	0.257595
-7.7	-19.8	0.257137
-7.6	-19.8	0.256685
-7.5	-19.8	0.256238
-7.4	-19.8	0.255797
-7.3	-19.8	0.255361
-7.2	-19.8	0.254931
-7.1	-19.8	0.254507
-7	-19.8	0.254089
-6.9	-19.8	0.253676
-6.8	-19.8	0.253269
-6.7	-19.8	0.252868
-6.6	-19.8	0.252472
-6.5	-19.8	0.252082
-6.4	-19.8	0.251698
-6.3	-19.8	0.25132
-6.2	-19.8	0.250947
-6.1	-19.8	0.25058
-6	-19.8	0.250219
-5.9	-19.8	0.249863
-5.8	-19.8	0.249514
-5.7	-19.8	0.24917
-5.6	-19.8	0.248832
-5.5	-19.8	0.2485
-5.4	-19.8	0.248174
-5.3	-19.8	0.247853
-5.2	-19.8	0.247539
-5.1	-19.8	0.24723
-5	-19.8	0.246927
-4.9	-19.8	0.24663
-4.8	-19.8	0.246338
-4.7	-19.8	0.246053
-4.6	-19.8	0.245774
-4.5	-19.8	0.2455
-4.4	-19.8	0.245232
-4.3	-19.8	0.244971
-4.2	-19.8	0.244715
-4.1	-19.8	0.244465
-4	-19.8	0.244221
-3.9	-19.8	0.243983
-3.8	-19.8	0.243751
-3.7	-19.8	0.243524
-3.6	-19.8	0.243304
-3.5	-19.8	0.24309
-3.4	-19.8	0.242881
-3.3	-19.8	0.242679
-3.2	-19.8	0.242483
-3.1	-19.8	0.242292
-3	-19.8	0.242108
-2.9	-19.8	0.24193
-2.8	-19.8	0.241757
-2.7	-19.8	0.241591
-2.6	-19.8	0.24143
-2.5	-19.8	0.241276
-2.4	-19.8	0.241128
-2.3	-19.8	0.240985
-2.2	-19.8	0.240849
-2.1	-19.8	0.240719
-2	-19.8	0.240594
-1.9	-19.8	0.240476
-1.8	-19.8	0.240364
-1.7	-19.8	0.240258
-1.6	-19.8	0.240158
-1.5	-19.8	0.240064
-1.4	-19.8	0.239976
-1.3	-19.8	0.239894
-1.2	-19.8	0.239818
-1.1	-19.8	0.239748
-1	-19.8	0.239684
-0.9	-19.8	0.239627
-0.8	-19.8	0.239575
-0.7	-19.8	0.239529
-0.6	-19.8	0.23949
-0.5	-19.8	0.239457
-0.4	-19.8	0.239429
-0.3	-19.8	0.239408
-0.2	-19.8	0.239393
-0.1	-19.8	0.239384
1.52933e-14	-19.8	0.239381
0.1	-19.8	0.239384
0.2	-19.8	0.239393
0.3	-19.8	0.239408
0.4	-19.8	0.239429
0.5	-19.8	0.239456
0.6	-19.8	0.23949
0.7	-19.8	0.239529
0.8	-19.8	0.239575
0.9	-19.8	0.239627
1	-19.8	0.239684
1.1	-19.8	0.239748
1.2	-19.8	0.239818
1.3	-19.8	0.239894
1.4	-19.8	0.239976
1.5	-19.8	0.240064
1.6	-19.8	0.240158
