# R  L  v_R  v_phi   x  y
6.33386 1.40056 0.00449553 0.221122 -4.37429 -4.58076
5.78437 1.26309 0.00167378 0.218363 -5.08219 -2.7623
4.39604 0.930995 0.00702599 0.211781 1.64199 4.07787
6.85929 1.57577 -0.00268693 0.229728 3.91107 -5.63501
3.32412 0.734416 -0.00321988 0.220936 3.30966 -0.309727
2.03592 0.470559 -0.0148936 0.231128 -0.625815 1.93735
2.05953 0.436271 -0.00894957 0.21183 -0.326461 -2.03349
5.90997 1.31748 -0.0150816 0.222924 -5.23249 -2.74751
4.34808 0.969983 -0.0131659 0.223083 -2.29139 -3.69531
4.21101 0.918421 -0.0113688 0.2181 -4.19712 0.341758
2.77485 0.617977 0.015817 0.222706 -1.68694 2.20318
5.65626 1.34777 -0.00868733 0.238279 2.32965 5.15422
5.34293 1.245 -0.01869 0.233019 4.89381 -2.14419
2.1109 0.458786 -0.00127338 0.217342 -0.449664 2.06245
6.23618 1.33906 -0.00475492 0.214725 5.28898 3.30403
2.62102 0.595365 -0.0062526 0.22715 1.92532 1.77845
16.3304 3.59169 -0.00180285 0.219938 -12.8055 10.1343
8.28462 1.84577 0.00737302 0.222795 -5.51065 -6.18609
5.7779 1.25093 -0.00583767 0.216502 0.790026 -5.72364
7.96687 1.78484 -0.00527518 0.224033 -1.05751 7.89637
5.69235 1.19049 0.00408531 0.20914 -1.31203 -5.53908
3.03171 0.697892 0.00527596 0.230198 -1.20614 2.78145
2.97702 0.717668 -0.0197039 0.241069 2.78007 -1.06483
2.90685 0.646272 0.000478347 0.222328 -2.32474 -1.74509
3.28528 0.708897 -0.00629477 0.21578 2.9068 -1.53088
8.10988 1.69035 0.00646603 0.208431 7.89928 -1.83615
3.11807 0.686911 -0.0185913 0.2203 -2.59841 -1.72355
4.76973 1.07574 -0.00968399 0.225536 1.55711 -4.50841
5.97719 1.30254 0.00512628 0.217919 0.33042 5.96805
9.35774 1.99663 0.000600398 0.213367 8.51282 3.88576
4.39661 0.976021 0.00274713 0.221994 4.36949 -0.487553
2.09325 0.43808 -0.00917651 0.209282 1.65326 -1.28391
9.40436 2.05864 0.00190253 0.218903 -6.02888 -7.21765
10.1836 2.20419 -0.00233041 0.216444 -2.69325 -9.82102
3.52547 0.766883 -0.0377069 0.217526 3.52411 0.0978801
2.15198 0.458536 0.00395854 0.213076 1.65635 1.37388
3.06247 0.677062 -0.0252281 0.221084 2.67325 1.49413
4.33693 0.971137 0.00392661 0.223923 3.93897 1.81479
10.1603 2.1737 0.000505001 0.21394 8.50134 -5.5641
2.03184 0.411062 0.000237277 0.20231 -1.88225 0.765188
2.1067 0.47529 0.0154321 0.225609 2.07176 0.382097
9.34694 2.04227 0.00520678 0.218496 9.20544 1.62024
2.32074 0.504381 0.000258126 0.217336 1.56469 -1.71393
6.87724 1.54994 0.0065855 0.225373 4.24446 5.41119
8.15172 1.76281 0.00189716 0.216249 7.23726 3.75135
3.20788 0.727254 0.00519362 0.226709 2.84753 -1.4772
3.77311 0.849624 0.00970235 0.225179 -2.17462 3.0834
6.15085 1.31291 -0.0142549 0.213452 3.51824 -5.0453
4.52573 0.990719 0.00113744 0.218908 -1.03653 4.40544
3.65414 0.83549 -0.00581268 0.228642 2.88515 2.24246
8.92851 1.94496 0.00282318 0.217837 -7.20049 5.27932
2.42798 0.524366 0.0129007 0.215968 1.98238 1.40187
3.42052 0.735664 0.00685157 0.215074 -3.40331 0.342695
2.08291 0.462438 0.00178449 0.222015 -1.81132 1.02841
2.47593 0.502218 0.0120932 0.20284 1.95044 1.52513
15.0741 3.26086 0.00482503 0.216323 4.55223 14.3703
4.45111 0.928061 -0.00330674 0.208501 2.93208 3.34893
4.19903 0.892443 0.0060898 0.212536 -3.56329 -2.22144
6.71595 1.59941 -0.00296445 0.238151 4.79534 4.70198
3.53524 0.785626 0.00122967 0.222227 -3.4535 -0.755822
10.4819 2.24409 -0.00492175 0.214092 -10.1994 2.41701
5.37025 1.2133 -0.0129032 0.225931 -4.1443 -3.41532
9.38017 2.01382 -0.00740445 0.214689 8.22541 4.5089
5.90557 1.32445 -0.000679301 0.224271 -5.56758 1.96921
4.54887 0.99338 -0.0184317 0.21838 -1.09836 4.41427
8.77485 1.96038 0.00244354 0.223409 -4.40532 7.58889
2.60041 0.603184 0.0252098 0.231957 0.223883 2.59076
2.6508 0.53813 -0.00291463 0.203007 0.764195 -2.53825
4.39303 0.929101 0.024498 0.211495 3.04647 -3.16507
8.03924 1.76225 -0.00486437 0.219206 -2.45638 7.65478
4.07285 0.850997 -0.00273786 0.208944 2.48015 3.23063
6.03134 1.25896 -0.0093369 0.208736 5.38964 2.7072
4.7713 1.06459 -0.00395372 0.223124 -0.700659 4.71957
9.93867 2.21332 -0.0032596 0.222698 8.78425 4.64908
5.88008 1.29491 -0.0130852 0.22022 -3.48114 -4.73888
2.52757 0.594492 -0.00939309 0.235203 1.63217 1.92992
6.56074 1.50495 0.00438783 0.229387 -0.917532 6.49626
6.90365 1.544 0.00321105 0.223649 6.90269 -0.114911
4.04056 0.915937 -0.000254671 0.226686 0.357822 4.02468
5.82832 1.2852 -0.011894 0.22051 2.87008 -5.07267
2.51834 0.504974 0.00521141 0.200519 -2.38833 0.79867
5.82664 1.24902 0.0106758 0.214364 -5.09289 2.83057
6.03213 1.30071 -0.00295515 0.215631 3.15611 -5.14058
5.27727 1.13932 0.0211534 0.215892 -5.04272 1.55581
8.07313 1.75675 0.00211781 0.217604 1.20042 -7.98338
9.97347 2.19037 0.00024205 0.21962 9.82815 1.69634
6.03464 1.34019 -0.0311964 0.222083 -2.02179 5.68588
4.46653 1.02335 0.0186423 0.229116 -4.46634 -0.041411
3.24241 0.760434 -0.0132399 0.234527 0.817434 3.13768
3.54751 0.79532 0.00893844 0.224191 1.06039 3.38533
5.4025 1.26886 0.0107044 0.234866 5.09154 1.80644
5.13956 1.14553 0.0137615 0.222885 4.98526 1.2499
3.70568 0.821427 0.0130458 0.221667 -2.05265 -3.08524
9.65453 2.16338 0.0119759 0.224079 -9.31925 -2.5222
5.36046 1.14695 0.00360026 0.213965 -5.02514 1.86615
7.89568 1.74609 0.0112212 0.221145 4.14585 -6.71965
15.7636 3.46415 0.000105863 0.219756 8.03213 13.5638
3.72776 0.838399 -0.0063201 0.224907 0.336163 3.71257
7.42477 1.6141 0.00485986 0.217394 -1.15579 -7.33426
11.0341 2.46116 -0.0011075 0.223049 10.3543 -3.81313
5.81628 1.27358 -0.00803593 0.218969 -1.73622 5.55109
3.99464 0.922058 0.000386221 0.230824 -3.1981 -2.39359
13.9637 3.06761 -0.00573703 0.219684 -2.63175 -13.7135
8.25453 1.79656 -0.000992679 0.217645 -7.51861 3.40703
3.97237 0.813881 -0.0151382 0.204885 2.887 2.72854
2.43784 0.541786 0.0107129 0.22224 1.43504 1.97072
7.35311 1.61947 -0.00116206 0.220243 1.58013 7.18132
6.54528 1.40898 -0.0037779 0.215266 -3.91558 -5.2449
8.81679 1.95397 0.00161866 0.221619 7.40611 4.78386
6.7043 1.49549 0.0176163 0.223064 3.27881 -5.84783
4.02115 0.910467 -0.0141601 0.22642 -2.92577 2.75853
8.09149 1.75517 0.00640686 0.216916 7.88528 -1.81508
4.38102 0.975327 0.00344603 0.222625 4.19824 1.25226
4.27024 0.920171 0.00338992 0.215485 -4.25393 -0.372809
2.62095 0.514523 0.0217822 0.196312 1.06551 -2.39459
6.82664 1.52286 0.00939643 0.223075 -4.20945 -5.37435
8.66057 1.93155 -0.0040711 0.223028 -0.53468 -8.64405
8.41974 1.86161 0.016425 0.221101 -4.40545 7.17524
2.99325 0.693184 -0.0103196 0.231583 2.76583 -1.14442
5.32186 1.22376 -0.00229809 0.22995 1.25111 -5.1727
2.85952 0.617661 -0.0149508 0.216002 2.47771 1.42752
4.31622 1.03078 0.0055369 0.238815 4.30036 -0.369583
15.1466 3.31203 -0.00138726 0.218666 -2.02863 15.0101
3.86837 0.820397 -0.0109546 0.212078 2.2394 3.15426
5.93286 1.24808 0.000225735 0.210367 -4.73551 3.57405
11.348 2.55135 0.00222757 0.224828 8.51625 7.50003
7.27283 1.61139 0.00410343 0.221563 7.23132 -0.775954
5.92135 1.32678 0.0023495 0.224067 -0.961458 -5.84278
9.27512 2.01409 -0.00884104 0.217149 4.26636 8.23566
10.8339 2.393 -0.00292357 0.220881 -0.353772 -10.8281
3.41821 0.76662 0.00949587 0.224275 1.83611 2.8832
5.21064 1.17831 -0.00605243 0.226135 1.79425 4.89198
4.93603 1.10396 0.000802352 0.223653 -3.82165 3.124
3.73445 0.866365 -0.00111479 0.231992 -3.71596 0.371199
4.97416 1.10249 0.00422749 0.221643 1.60594 4.70779
6.21485 1.29238 0.00657921 0.207951 -2.64031 5.62611
4.65748 1.01494 0.019428 0.217916 4.62137 -0.578894
12.7732 2.7796 -3.40014e-05 0.217612 -11.6887 5.15074
5.5196 1.20218 0.0159014 0.217803 -3.43452 4.32089
5.54246 1.27252 -0.00486182 0.229595 -4.96981 2.45353
8.33404 1.84003 0.00777215 0.220784 -5.54039 -6.22578
3.86232 0.873743 0.0153691 0.226223 -1.03582 3.72083
3.59463 0.767216 0.00156371 0.213434 3.36387 -1.26719
2.94958 0.669941 0.012295 0.227131 -2.8756 0.656451
6.26646 1.37101 -0.00679071 0.218786 6.11874 -1.35262
2.51592 0.580284 0.0145919 0.230645 0.487507 -2.46823
4.51454 0.97607 0.00697191 0.216206 -4.51152 0.165097
